time,x,y,z,qx,qy,qz,qw,gripper_stat
1.658938625673779488e+09,2.505674362182617188e-01,1.775672435760498047e-01,-1.964660435914993009e-01,5.206837058067321777e-01,5.768212676048278809e-01,-4.891085624694824219e-01,3.961546719074249268e-01,0.000000000000000000e+00
1.658938625683483839e+09,2.505047917366027832e-01,1.774790883064270020e-01,-1.965180933475494107e-01,5.208273530006408691e-01,5.764784216880798340e-01,-4.891319572925567072e-01,3.964359462261199951e-01,0.000000000000000000e+00
1.658938625696553230e+09,2.504613399505615234e-01,1.774248182773590088e-01,-1.965085715055464866e-01,5.208458304405212402e-01,5.763188600540161133e-01,-4.891963005065917969e-01,3.965642750263214111e-01,0.000000000000000000e+00
1.658938625711299181e+09,2.504185140132904053e-01,1.773884147405624112e-01,-1.965149641036987027e-01,5.208863019943237305e-01,5.760980248451232910e-01,-4.892440438270568848e-01,3.967731297016143799e-01,0.000000000000000000e+00
1.658938625718513489e+09,2.503632903099060059e-01,1.773435324430464866e-01,-1.965462118387222012e-01,5.207457542419433594e-01,5.758954286575317383e-01,-4.894071817398070734e-01,3.970505595207213800e-01,0.000000000000000000e+00
1.658938625723914385e+09,2.503145337104796808e-01,1.773435771465300959e-01,-1.965306699275969904e-01,5.206091403961181641e-01,5.757192969322204590e-01,-4.895229339599608820e-01,3.973420262336730957e-01,0.000000000000000000e+00
1.658938625728288412e+09,2.502995133399962824e-01,1.773345619440077903e-01,-1.964671611785888117e-01,5.204874873161315918e-01,5.756093263626098633e-01,-4.896651506423950195e-01,3.974855244159697931e-01,0.000000000000000000e+00
1.658938625733616114e+09,2.502722442150115967e-01,1.773092597723006925e-01,-1.964277923107146939e-01,5.203802585601806641e-01,5.755043625831604004e-01,-4.897300004959105890e-01,3.976978659629821777e-01,0.000000000000000000e+00
1.658938625743668318e+09,2.502435743808745783e-01,1.772716343402861994e-01,-1.963657289743422907e-01,5.201098918914794922e-01,5.754244327545166016e-01,-4.898990690708159845e-01,3.979591429233551025e-01,0.000000000000000000e+00
1.658938625748239040e+09,2.502301633358001154e-01,1.772280335426330011e-01,-1.962722539901733121e-01,5.198283195495605469e-01,5.754480957984924316e-01,-4.899609684944152832e-01,3.982165157794951837e-01,0.000000000000000000e+00
1.658938625756427526e+09,2.502241730690001886e-01,1.771704107522963922e-01,-1.961763054132460993e-01,5.196524858474731445e-01,5.754322409629821777e-01,-4.900548160076140802e-01,3.983534276485443115e-01,0.000000000000000000e+00
