time,x,y,z,qx,qy,qz,qw,gripper_stat
1.658942397119636297e+09,2.701622247695922852e-01,4.696641117334360294e-02,-2.458953857421875000e-01,5.087293982505798340e-01,5.253413319587707520e-01,-4.751627445220947266e-01,4.893171489238739014e-01,0.000000000000000000e+00
1.658942397125420332e+09,2.703531682491301935e-01,4.710512235760679761e-02,-2.455347180366516113e-01,5.087861418724060059e-01,5.256301164627075195e-01,-4.751462936401367188e-01,4.889638423919677734e-01,0.000000000000000000e+00
1.658942397137376308e+09,2.705039680004119873e-01,4.722523316740989685e-02,-2.451951652765274048e-01,5.085872411727905273e-01,5.258671641349792480e-01,-4.752436578273773193e-01,4.888212978839874268e-01,0.000000000000000000e+00
1.658942397144340515e+09,2.706589996814727783e-01,4.732011258602140252e-02,-2.448597550392150879e-01,5.083376765251159668e-01,5.261065363883972168e-01,-4.753823578357695978e-01,4.886884391307830811e-01,0.000000000000000000e+00
1.658942397150805712e+09,2.708213031291961115e-01,4.742120206356040257e-02,-2.445020228624343872e-01,5.081764459609985352e-01,5.262612700462341309e-01,-4.755233526229857843e-01,4.885523915290831964e-01,0.000000000000000000e+00
1.658942397157304287e+09,2.709529101848601740e-01,4.745634272694580075e-02,-2.441733777523039939e-01,5.081878900527954102e-01,5.264481306076049805e-01,-4.756461977958679199e-01,4.882194995880126953e-01,0.000000000000000000e+00
1.658942397176252842e+09,2.711435854434967041e-01,4.753523692488669655e-02,-2.438031882047652921e-01,5.080027580261230469e-01,5.267398357391357422e-01,-4.760099053382872980e-01,4.877427518367766779e-01,0.000000000000000000e+00
1.658942397182674170e+09,2.712833881378173828e-01,4.757124930620190012e-02,-2.434499263763426902e-01,5.079629421234130859e-01,5.268507599830627441e-01,-4.762392938137053888e-01,4.874405562877655029e-01,0.000000000000000000e+00
1.658942397187450171e+09,2.713854610919951837e-01,4.756799340248100277e-02,-2.431347072124480924e-01,5.078410506248474121e-01,5.270769000053405762e-01,-4.764819443225860041e-01,4.870857298374176025e-01,0.000000000000000000e+00
1.658942397193691492e+09,2.715023458003997803e-01,4.756443947553629786e-02,-2.428316920995712003e-01,5.075405240058898926e-01,5.273067951202392578e-01,-4.768489897251129150e-01,4.867908954620360773e-01,0.000000000000000000e+00
1.658942397199528933e+09,2.716368138790130060e-01,4.753807187080379831e-02,-2.424324750900268000e-01,5.073575973510742188e-01,5.274919271469116211e-01,-4.772366583347320002e-01,4.864008426666259766e-01,0.000000000000000000e+00
1.658942397205338001e+09,2.717247903347014826e-01,4.748875647783269704e-02,-2.421148121356964111e-01,5.072424411773681641e-01,5.275479555130004883e-01,-4.775664508342742920e-01,4.861364364624022882e-01,0.000000000000000000e+00
1.658942397218351841e+09,2.718271911144256037e-01,4.745306447148320284e-02,-2.417139708995819092e-01,5.069613456726074219e-01,5.277189016342163086e-01,-4.781171679496765137e-01,4.857025146484375000e-01,0.000000000000000000e+00
1.658942397227174044e+09,2.719056308269500732e-01,4.741543903946870281e-02,-2.413587868213653009e-01,5.067902207374572754e-01,5.277320146560668945e-01,-4.785630702972412109e-01,4.854277968406677246e-01,0.000000000000000000e+00
1.658942397234866381e+09,2.719882130622863770e-01,4.734061658382410220e-02,-2.410167604684828879e-01,5.066361427307128906e-01,5.278426408767700195e-01,-4.790728688240051270e-01,4.849651753902434748e-01,0.000000000000000000e+00
1.658942397240015984e+09,2.720535099506378174e-01,4.728021472692479910e-02,-2.407171875238418024e-01,5.063853859901428223e-01,5.278644561767578125e-01,-4.796880185604094904e-01,4.845950901508330744e-01,0.000000000000000000e+00
1.658942397246649504e+09,2.721107602119445801e-01,4.720920696854589982e-02,-2.404048889875411987e-01,5.060685276985168457e-01,5.277917981147766113e-01,-4.803805947303771973e-01,4.843190908432006836e-01,0.000000000000000000e+00
1.658942397264659882e+09,2.721967697143554132e-01,4.715299233794210260e-02,-2.401049733161925992e-01,5.056975483894348145e-01,5.278846621513366699e-01,-4.809799194335936945e-01,4.840103685855864923e-01,0.000000000000000000e+00
1.658942397272785902e+09,2.722713351249694824e-01,4.708535969257349879e-02,-2.397640347480773926e-01,5.055298805236816406e-01,5.278833508491516113e-01,-4.816156923770903986e-01,4.835545718669890802e-01,0.000000000000000000e+00
1.658942397277033091e+09,2.723608613014221191e-01,4.701359197497360226e-02,-2.394721657037734985e-01,5.054079294204711914e-01,5.278759598731994629e-01,-4.823105037212371826e-01,4.829974174499511164e-01,0.000000000000000000e+00
1.658942397285295010e+09,2.723866105079650879e-01,4.694527015089979688e-02,-2.392010539770126065e-01,5.054721832275390625e-01,5.276780724525451660e-01,-4.828496575355529785e-01,4.826074838638305109e-01,0.000000000000000000e+00
1.658942397289506912e+09,2.724142074584960938e-01,4.684439674019810068e-02,-2.389521896839141013e-01,5.054365992546081543e-01,5.275532007217407227e-01,-4.834984838962554932e-01,4.821313321590423029e-01,0.000000000000000000e+00
1.658942397294394732e+09,2.724347710609436035e-01,4.676064103841780228e-02,-2.386939078569411954e-01,5.053002834320068359e-01,5.273703336715698242e-01,-4.840990602970122736e-01,4.818716049194335938e-01,0.000000000000000000e+00
1.658942397305184603e+09,2.724406421184539795e-01,4.670416563749309885e-02,-2.384812086820601862e-01,5.052704811096191406e-01,5.271655917167663574e-01,-4.846733510494232178e-01,4.815496206283568781e-01,0.000000000000000000e+00
1.658942397316179037e+09,2.724442183971405029e-01,4.664732515811920166e-02,-2.382928878068923950e-01,5.051667094230651855e-01,5.271039009094238281e-01,-4.854108691215515137e-01,4.809827804565429132e-01,0.000000000000000000e+00
1.658942397326373577e+09,2.724582552909851074e-01,4.660657793283459749e-02,-2.381005734205245972e-01,5.051437616348266602e-01,5.269134640693664551e-01,-4.859389662742614746e-01,4.806821346282958984e-01,0.000000000000000000e+00
1.658942397347514153e+09,2.724849581718444824e-01,4.657379537820809795e-02,-2.379020452499389093e-01,5.051513910293579102e-01,5.268167853355407715e-01,-4.863407611846923828e-01,4.803736805915831964e-01,0.000000000000000000e+00
1.658942397354355812e+09,2.725018560886383057e-01,4.653756320476529901e-02,-2.377223372459411066e-01,5.051894187927246094e-01,5.267038941383361816e-01,-4.867464005947113037e-01,4.800466299057006836e-01,0.000000000000000000e+00
1.658942397363990307e+09,2.725292444229125977e-01,4.652045294642440099e-02,-2.375348508358000876e-01,5.052511692047119141e-01,5.265377759933471680e-01,-4.872012436389923096e-01,4.797021746635437012e-01,0.000000000000000000e+00
1.658942397370200634e+09,2.725619375705718994e-01,4.651875048875799695e-02,-2.373501062393187921e-01,5.053435564041137695e-01,5.264573097229003906e-01,-4.874627292156218927e-01,4.794274866580963135e-01,0.000000000000000000e+00
1.658942397376020908e+09,2.726481854915618896e-01,4.651775583624839783e-02,-2.371786683797836026e-01,5.052872300148010254e-01,5.263325572013854980e-01,-4.879726767539978027e-01,4.791049063205718994e-01,0.000000000000000000e+00
1.658942397379150629e+09,2.726972997188568115e-01,4.655063524842260186e-02,-2.370459437370300015e-01,5.051894783973693848e-01,5.262858271598815918e-01,-4.883762300014495850e-01,4.788482785224913996e-01,0.000000000000000000e+00
1.658942397385464907e+09,2.727372646331787109e-01,4.661119729280469720e-02,-2.369015365839003961e-01,5.049778819084167480e-01,5.262933373451232910e-01,-4.886832833290100098e-01,4.787497520446776789e-01,0.000000000000000000e+00
