time,x,y,z,qx,qy,qz,qw,gripper_stat
1.659115860978961706e+09,3.739835917949675959e-01,2.115532308816908957e-01,6.247327849268909800e-02,-3.063746392726898193e-01,-6.483112573623657227e-01,3.681590855121611994e-01,-5.918496251106262207e-01,0.000000000000000000e+00
1.659115860989794970e+09,3.740962743759155273e-01,2.112413197755813044e-01,6.236001476645469666e-02,-3.066234886646270752e-01,-6.485216021537780762e-01,3.677836060523986816e-01,-5.917237401008605957e-01,0.000000000000000000e+00
1.659115860997627497e+09,3.741903603076934814e-01,2.109736502170561911e-01,6.238605082035059840e-02,-3.067812919616699219e-01,-6.486720442771911621e-01,3.674989342689514160e-01,-5.916539430618286133e-01,0.000000000000000000e+00
1.659115861007061005e+09,3.742580115795134943e-01,2.107026427984237116e-01,6.236450746655460009e-02,-3.067882657051085871e-01,-6.488755345344543457e-01,3.672666847705841064e-01,-5.915714502334594727e-01,0.000000000000000000e+00
1.659115861015056849e+09,3.742472231388092041e-01,2.104568332433700006e-01,6.233939900994300148e-02,-3.067508041858673096e-01,-6.489682197570800781e-01,3.669683933258056086e-01,-5.916743278503417969e-01,0.000000000000000000e+00
1.659115861020368338e+09,3.742802739143371027e-01,2.102228850126265924e-01,6.228945031762120332e-02,-3.065769672393798828e-01,-6.490645408630371094e-01,3.666781187057495117e-01,-5.918385982513427734e-01,0.000000000000000000e+00
1.659115861028607607e+09,3.742575347423552912e-01,2.099517285823822021e-01,6.225739791989320232e-02,-3.064897060394287109e-01,-6.493416428565979004e-01,3.661838173866271973e-01,-5.918859243392944336e-01,0.000000000000000000e+00
1.659115861043346643e+09,3.741897046566008966e-01,2.097109854221343994e-01,6.235112622380249714e-02,-3.063083589076995850e-01,-6.493461728096008301e-01,3.660989999771118164e-01,-5.920272469520568848e-01,0.000000000000000000e+00
1.659115861055333138e+09,3.739471435546875000e-01,2.092546522617340088e-01,6.192789226770400307e-02,-3.033865094184874933e-01,-6.497020721435546875e-01,3.666560053825377863e-01,-5.927960872650146484e-01,0.000000000000000000e+00
1.659115861062800884e+09,3.739967644214630127e-01,2.091038227081297995e-01,6.205675378441809914e-02,-3.036913275718688965e-01,-6.495947241783142090e-01,3.661962747573851984e-01,-5.930417180061340332e-01,0.000000000000000000e+00
1.659115861071973801e+09,3.740454912185668945e-01,2.089086920022963922e-01,6.206356734037390271e-02,-3.039549589157103937e-01,-6.494127511978149414e-01,3.655762672424315851e-01,-5.934883952140808105e-01,0.000000000000000000e+00
1.659115861083626509e+09,3.740389943122863770e-01,2.086816728115080954e-01,6.198272109031670307e-02,-3.036293089389801025e-01,-6.493777036666870117e-01,3.651858568191527765e-01,-5.939337015151977539e-01,0.000000000000000000e+00
1.659115861100468874e+09,3.741187155246734064e-01,2.084076106548309049e-01,6.188112124800679986e-02,-3.036659359931945801e-01,-6.494896411895751953e-01,3.649241626262664795e-01,-5.939534306526184082e-01,0.000000000000000000e+00
1.659115861106906414e+09,3.741538822650908869e-01,2.082215100526809137e-01,6.181441247463220073e-02,-3.036792278289794922e-01,-6.495923995971679688e-01,3.646899759769439142e-01,-5.939781069755554199e-01,0.000000000000000000e+00
1.659115861116185188e+09,3.742461204528808039e-01,2.080066949129104059e-01,6.168773770332330181e-02,-3.034524023532866877e-01,-6.500387787818908691e-01,3.644271194934844971e-01,-5.937668681144714355e-01,0.000000000000000000e+00
1.659115861125840425e+09,3.743248283863067072e-01,2.077296078205108087e-01,6.163404136896129953e-02,-3.033179938793181818e-01,-6.503398418426513672e-01,3.640712201595305841e-01,-5.937243103981018066e-01,0.000000000000000000e+00
1.659115861133612633e+09,3.743897378444671076e-01,2.075168639421463013e-01,6.152947247028350136e-02,-3.031471967697143000e-01,-6.505297422409057617e-01,3.640434145927429199e-01,-5.936204791069030762e-01,0.000000000000000000e+00
1.659115861148510695e+09,3.744471669197081964e-01,2.073079496622085016e-01,6.149947270750989736e-02,-3.027262091636657160e-01,-6.507873535156250000e-01,3.640069067478179932e-01,-5.935754179954528809e-01,0.000000000000000000e+00
1.659115861157176495e+09,3.745409846305847168e-01,2.071209549903869074e-01,6.145765259861939861e-02,-3.025523424148559015e-01,-6.511397361755371094e-01,3.637977838516234796e-01,-5.934056639671325684e-01,0.000000000000000000e+00
1.659115861165227413e+09,3.746123313903808039e-01,2.068911343812941950e-01,6.127959489822380063e-02,-3.020229935646057129e-01,-6.511570811271667480e-01,3.639624714851378839e-01,-5.935553908348083496e-01,0.000000000000000000e+00
1.659115861173105717e+09,3.746600747108458918e-01,2.067056596279144010e-01,6.125766783952710237e-02,-3.021669387817382812e-01,-6.511658430099487305e-01,3.634451329708098810e-01,-5.937893390655517578e-01,0.000000000000000000e+00
1.659115861180375099e+09,3.747412562370299738e-01,2.065382450819014948e-01,6.115090101957319779e-02,-3.020580112934111994e-01,-6.512623429298400879e-01,3.634581565856933039e-01,-5.937309861183166504e-01,0.000000000000000000e+00
1.659115861189218283e+09,3.747551441192626953e-01,2.064083367586135864e-01,6.109428033232679883e-02,-3.020060360431671143e-01,-6.513388156890869141e-01,3.630957305431365967e-01,-5.938953161239624023e-01,0.000000000000000000e+00
1.659115861201400518e+09,3.748207390308380127e-01,2.062311917543410977e-01,6.098993495106690144e-02,-3.019537031650543213e-01,-6.514267921447753906e-01,3.630088269710540771e-01,-5.938785672187805176e-01,0.000000000000000000e+00
1.659115861208509445e+09,3.748606145381926935e-01,2.061502635478973111e-01,6.087689101696010241e-02,-3.018235564231872003e-01,-6.513624191284179688e-01,3.631821274757385254e-01,-5.939093828201293945e-01,0.000000000000000000e+00
1.659115861216720104e+09,3.749081194400786798e-01,2.060795426368713101e-01,6.080767884850499932e-02,-3.014582395553588867e-01,-6.515683531761169434e-01,3.630176782608032227e-01,-5.939695239067077637e-01,0.000000000000000000e+00
1.659115861222931385e+09,3.749327361583709162e-01,2.058662027120589932e-01,6.068832427263259888e-02,-3.015416860580443781e-01,-6.517764925956726074e-01,3.624590039253234863e-01,-5.940399169921875000e-01,0.000000000000000000e+00
1.659115861227808952e+09,3.749389350414276123e-01,2.057925462722778043e-01,6.063954532146449694e-02,-3.014629185199736994e-01,-6.518183350563049316e-01,3.623365759849547785e-01,-5.941087603569030762e-01,0.000000000000000000e+00
1.659115861235359192e+09,3.749183714389801025e-01,2.056924253702162864e-01,6.054711341857910156e-02,-3.015569448471068781e-01,-6.518805027008056641e-01,3.620553612709044855e-01,-5.941643118858337402e-01,0.000000000000000000e+00
1.659115861242390633e+09,3.749142587184906006e-01,2.056323438882826926e-01,6.049719080328939957e-02,-3.014850020408629816e-01,-6.519137620925903320e-01,3.619312644004821777e-01,-5.942399501800537109e-01,0.000000000000000000e+00
1.659115861250315905e+09,3.748910129070281982e-01,2.055452615022659024e-01,6.040821224451060206e-02,-3.011191189289093018e-01,-6.519618034362792969e-01,3.619389533996582031e-01,-5.943679809570312500e-01,0.000000000000000000e+00
1.659115861256658077e+09,3.749105334281920832e-01,2.054360061883926114e-01,6.023828312754629655e-02,-3.007012605667114258e-01,-6.521614193916320801e-01,3.620043396949768066e-01,-5.943208336830139160e-01,0.000000000000000000e+00
1.659115861263944864e+09,3.749242722988128107e-01,2.053661793470382135e-01,6.017963215708729829e-02,-3.006347417831420898e-01,-6.521995663642883301e-01,3.619195222854614258e-01,-5.943641662597656250e-01,0.000000000000000000e+00
1.659115861268804073e+09,3.749116361141204834e-01,2.053099870681761863e-01,6.012848764657970080e-02,-3.005394041538237970e-01,-6.522695422172546387e-01,3.618997931480407160e-01,-5.943476557731628418e-01,0.000000000000000000e+00
1.659115861270703554e+09,3.748669326305388849e-01,2.052431553602218073e-01,6.009666249155989903e-02,-3.007046580314636230e-01,-6.521989107131958008e-01,3.618611693382263184e-01,-5.943650603294372559e-01,0.000000000000000000e+00
1.659115861272613287e+09,3.748433291912078857e-01,2.051920890808104914e-01,6.006107479333869931e-02,-3.006222546100615900e-01,-6.522840261459350586e-01,3.618068099021911066e-01,-5.943465232849121094e-01,0.000000000000000000e+00
1.659115861278350353e+09,3.748150169849395752e-01,2.051326930522917869e-01,6.004292890429489826e-02,-3.005888462066649836e-01,-6.523656249046325684e-01,3.617202043533325195e-01,-5.943264961242675781e-01,0.000000000000000000e+00
1.659115861287136793e+09,3.747315406799315851e-01,2.050801366567610862e-01,6.009955331683149854e-02,-3.006733059883117121e-01,-6.525021791458129883e-01,3.611495196819304865e-01,-5.944808721542358398e-01,0.000000000000000000e+00
1.659115861297558784e+09,3.747004866600036066e-01,2.050059735774993896e-01,6.013991683721540277e-02,-3.007942438125609796e-01,-6.526363492012023926e-01,3.608336448669433039e-01,-5.944643020629882812e-01,0.000000000000000000e+00
1.659115861306016922e+09,3.746568560600280762e-01,2.049424350261687955e-01,6.015187501907340306e-02,-3.008569478988646906e-01,-6.526505947113037109e-01,3.606449961662291925e-01,-5.945312976837158203e-01,0.000000000000000000e+00
1.659115861315037966e+09,3.746010065078734796e-01,2.048682421445846003e-01,6.017880886793129658e-02,-3.008314967155455988e-01,-6.526975035667419434e-01,3.604705929756163996e-01,-5.945984721183776855e-01,0.000000000000000000e+00
1.659115861322712898e+09,3.745276331901549738e-01,2.047445774078368863e-01,6.022800877690309695e-02,-3.011563122272490900e-01,-6.524555683135986328e-01,3.600558340549468994e-01,-5.949507355690002441e-01,0.000000000000000000e+00
1.659115861329323530e+09,3.744874000549315851e-01,2.046315371990203025e-01,6.031297892332070087e-02,-3.014088869094848078e-01,-6.523364782333374023e-01,3.599241375923156738e-01,-5.950331687927246094e-01,0.000000000000000000e+00
1.659115861336904049e+09,3.744214773178100031e-01,2.045583277940750122e-01,6.029705330729479701e-02,-3.015632927417755127e-01,-6.521189808845520020e-01,3.597881793975830078e-01,-5.952755808830261230e-01,0.000000000000000000e+00
1.659115861347601891e+09,3.744088709354400080e-01,2.044974416494368952e-01,6.030881032347670118e-02,-3.017220199108123779e-01,-6.520664095878601074e-01,3.597410917282103937e-01,-5.952811241149902344e-01,0.000000000000000000e+00
1.659115861354018927e+09,3.743928074836730957e-01,2.044337689876556119e-01,6.033250689506530068e-02,-3.018463253974913996e-01,-6.520433425903320312e-01,3.597333133220672052e-01,-5.952481031417846680e-01,0.000000000000000000e+00
1.659115861362865210e+09,3.743861019611358087e-01,2.043648958206175925e-01,6.037827953696250222e-02,-3.021287322044372003e-01,-6.518860459327697754e-01,3.597462773323059082e-01,-5.952692627906799316e-01,0.000000000000000000e+00
1.659115861379074335e+09,3.744091391563414972e-01,2.043268829584120871e-01,6.041982024908060245e-02,-3.022831976413726807e-01,-6.519811749458312988e-01,3.598534166812896729e-01,-5.950219035148620605e-01,0.000000000000000000e+00
1.659115861387008905e+09,3.744138479232788086e-01,2.042613178491592130e-01,6.044760346412649671e-02,-3.023001253604888916e-01,-6.519394516944885254e-01,3.599882721900939941e-01,-5.949774384498596191e-01,0.000000000000000000e+00
1.659115861396101952e+09,3.743568360805510919e-01,2.041834145784378052e-01,6.044128537178029836e-02,-3.023659586906433105e-01,-6.519596576690673828e-01,3.594884574413299005e-01,-5.952240228652954102e-01,0.000000000000000000e+00
1.659115861402154446e+09,3.743745386600493830e-01,2.041477113962172907e-01,6.045021116733550332e-02,-3.023501336574553888e-01,-6.519899368286132812e-01,3.595512807369232178e-01,-5.951607823371887207e-01,0.000000000000000000e+00
1.659115861409981966e+09,3.743819892406463068e-01,2.041344344615936002e-01,6.044527888298029811e-02,-3.023587167263031006e-01,-6.519962549209594727e-01,3.595723807811737061e-01,-5.951367616653442383e-01,0.000000000000000000e+00
1.659115861422250986e+09,3.743641674518585205e-01,2.041016817092894953e-01,6.047740578651419896e-02,-3.022758364677429199e-01,-6.519634127616882324e-01,3.597752153873443048e-01,-5.950923562049865723e-01,0.000000000000000000e+00
1.659115861430054903e+09,3.743643164634704035e-01,2.041222453117370050e-01,6.042858958244320261e-02,-3.022834658622741144e-01,-6.519263982772827148e-01,3.594939410686492920e-01,-5.952990055084228516e-01,0.000000000000000000e+00
1.659115861445295095e+09,3.743709325790405273e-01,2.041319161653518122e-01,6.046773120760910031e-02,-3.023079633712768000e-01,-6.520056128501892090e-01,3.594552278518676758e-01,-5.952231884002685547e-01,0.000000000000000000e+00
1.659115861454601765e+09,3.743526637554168146e-01,2.041475772857666016e-01,6.044868007302280077e-02,-3.022039830684661865e-01,-6.519284248352050781e-01,3.593683242797851007e-01,-5.954129099845886230e-01,0.000000000000000000e+00
1.659115861461226940e+09,3.743609189987182062e-01,2.041776627302168967e-01,6.044699624180790293e-02,-3.021494150161743164e-01,-6.519033908843994141e-01,3.594165742397307794e-01,-5.954388976097106934e-01,0.000000000000000000e+00
1.659115861466137886e+09,3.743595480918884277e-01,2.042038440704344870e-01,6.045202910900109722e-02,-3.020625710487365723e-01,-6.518970131874084473e-01,3.593879640102385919e-01,-5.955071449279785156e-01,0.000000000000000000e+00
1.659115861473060846e+09,3.743563592433928888e-01,2.042354941368103027e-01,6.046211346983899892e-02,-3.019902110099791925e-01,-6.518725752830505371e-01,3.593824207782744806e-01,-5.955739021301269531e-01,0.000000000000000000e+00
1.659115861480158806e+09,3.743556737899780273e-01,2.042676061391829889e-01,6.047736108303070068e-02,-3.018882274627684992e-01,-6.518532037734985352e-01,3.594024181365966797e-01,-5.956347584724426270e-01,0.000000000000000000e+00
