time,x,y,z,qx,qy,qz,qw,gripper_stat
1.658942806931406498e+09,2.604522705078125000e-01,4.371749609708779766e-02,-1.390256881713866910e-01,5.162304043769836426e-01,5.406948328018188477e-01,-4.633898138999938965e-01,4.758416414260864258e-01,0.000000000000000000e+00
1.658942806938172579e+09,2.604704201221466064e-01,4.369356483221049914e-02,-1.389711201190947931e-01,5.162261724472045898e-01,5.406854152679443359e-01,-4.632154405117034912e-01,4.760265946388244074e-01,0.000000000000000000e+00
1.658942806946616650e+09,2.605032324790954035e-01,4.369049891829489968e-02,-1.389066278934477927e-01,5.160507559776306152e-01,5.407384634017944336e-01,-4.629980921745299738e-01,4.763677418231964111e-01,0.000000000000000000e+00
1.658942806953575850e+09,2.605399191379547119e-01,4.368902742862700028e-02,-1.388573348522186002e-01,5.159615874290466309e-01,5.407602190971374512e-01,-4.629788994789122980e-01,4.764584004878997803e-01,0.000000000000000000e+00
1.658942806961918831e+09,2.605458199977874756e-01,4.367439448833460025e-02,-1.388280093669891080e-01,5.158383846282958984e-01,5.407058596611022949e-01,-4.628143608570098877e-01,4.768133163452147882e-01,0.000000000000000000e+00
1.658942806972304583e+09,2.605885863304138184e-01,4.367716982960700295e-02,-1.387754976749419888e-01,5.157288312911987305e-01,5.407161116600036621e-01,-4.628277420997619074e-01,4.769072234630584162e-01,0.000000000000000000e+00
1.658942806976700068e+09,2.606032192707061768e-01,4.366981983184810290e-02,-1.387624293565750122e-01,5.155442953109741211e-01,5.406707525253295898e-01,-4.627279341220855158e-01,4.772546291351317804e-01,0.000000000000000000e+00
1.658942806984107256e+09,2.606235444545745850e-01,4.367743432521820068e-02,-1.387486010789870938e-01,5.153596401214599609e-01,5.406609177589416504e-01,-4.627403318881987970e-01,4.774532914161682129e-01,0.000000000000000000e+00
1.658942806991619110e+09,2.606488466262816828e-01,4.369005188345900098e-02,-1.387350708246231079e-01,5.151571631431579590e-01,5.406403541564941406e-01,-4.628163576126098078e-01,4.776213169097899836e-01,0.000000000000000000e+00
1.658942807000094891e+09,2.606748342514038086e-01,4.368972778320309724e-02,-1.387319117784500122e-01,5.149606466293334961e-01,5.405958294868469238e-01,-4.629238247871398926e-01,4.777795672416687012e-01,0.000000000000000000e+00
1.658942807005701780e+09,2.606936395168303888e-01,4.370551928877829811e-02,-1.387231349945068082e-01,5.147656202316284180e-01,5.406023859977722168e-01,-4.630200862884520929e-01,4.778889715671538752e-01,0.000000000000000000e+00
1.658942807015064716e+09,2.607104480266571045e-01,4.373526573181150262e-02,-1.387118399143218994e-01,5.145745277404785156e-01,5.406773686408996582e-01,-4.630956053733825128e-01,4.779365658760070801e-01,0.000000000000000000e+00
1.658942807024730206e+09,2.607249617576599121e-01,4.373126849532119748e-02,-1.387224048376083096e-01,5.144248008728027344e-01,5.406783819198608398e-01,-4.631789028644561768e-01,4.780160486698150080e-01,0.000000000000000000e+00
1.658942807036307573e+09,2.607306540012359064e-01,4.373341053724279920e-02,-1.387263983488082886e-01,5.142835974693298340e-01,5.407294631004333496e-01,-4.632317125797271729e-01,4.780591130256652832e-01,0.000000000000000000e+00
1.658942807044448614e+09,2.607211768627166748e-01,4.371966049075119709e-02,-1.387311965227127075e-01,5.142069458961486816e-01,5.407487750053405762e-01,-4.632742106914520264e-01,4.780785739421843927e-01,0.000000000000000000e+00
1.658942807053895950e+09,2.607083618640899103e-01,4.369985684752460131e-02,-1.387414634227752130e-01,5.141462087631225586e-01,5.408332347869873047e-01,-4.632876515388488770e-01,4.780351817607879084e-01,0.000000000000000000e+00
1.658942807060705900e+09,2.606875300407409113e-01,4.366381466388700311e-02,-1.387500464916228970e-01,5.141287446022033691e-01,5.408831834793090820e-01,-4.632900655269622803e-01,4.779953062534332275e-01,0.000000000000000000e+00
1.658942807068190813e+09,2.606624364852905273e-01,4.362996295094490051e-02,-1.387684643268584928e-01,5.141563415527343750e-01,5.409395098686218262e-01,-4.632644653320311945e-01,4.779265820980072021e-01,0.000000000000000000e+00
1.658942807077104807e+09,2.606318891048430841e-01,4.358075559139250321e-02,-1.387904286384581964e-01,5.141546130180358887e-01,5.409843921661376953e-01,-4.632999897003173828e-01,4.778430163860321045e-01,0.000000000000000000e+00
1.658942807083867788e+09,2.605784535408020020e-01,4.352713003754610233e-02,-1.388084143400191983e-01,5.142443180084228516e-01,5.409740209579467773e-01,-4.631686806678771973e-01,4.778856933116912842e-01,0.000000000000000000e+00
1.658942807090463161e+09,2.605486512184143066e-01,4.349329322576520052e-02,-1.388285160064696988e-01,5.143249034881591797e-01,5.409441590309143066e-01,-4.631775021553038996e-01,4.778242409229278009e-01,0.000000000000000000e+00
1.658942807097356319e+09,2.605101466178894043e-01,4.346035048365590181e-02,-1.388607323169707974e-01,5.143840312957763672e-01,5.409368276596069336e-01,-4.632483720779418945e-01,4.777001142501831055e-01,0.000000000000000000e+00
1.658942807112568855e+09,2.604839801788330078e-01,4.345631971955289663e-02,-1.388806849718093872e-01,5.144435167312622070e-01,5.409024357795715332e-01,-4.633111357688903809e-01,4.776140451431273859e-01,0.000000000000000000e+00
1.658942807119677067e+09,2.604596018791198730e-01,4.345657676458349744e-02,-1.388944983482360007e-01,5.145784616470336914e-01,5.408600568771362305e-01,-4.633350968360900879e-01,4.774933755397796076e-01,0.000000000000000000e+00
1.658942807127938747e+09,2.604418992996215820e-01,4.347200319170949762e-02,-1.389075070619583130e-01,5.147273540496826172e-01,5.408100485801696777e-01,-4.633614122867584229e-01,4.773642122745513916e-01,0.000000000000000000e+00
1.658942807135743380e+09,2.604185640811920166e-01,4.349475726485250299e-02,-1.389110237360000055e-01,5.148471593856811523e-01,5.408016443252563477e-01,-4.633842408657073975e-01,4.772221744060515802e-01,0.000000000000000000e+00
1.658942807142744303e+09,2.603997290134429932e-01,4.353204742074009981e-02,-1.389125585556029996e-01,5.150686502456665039e-01,5.407565236091613770e-01,-4.633765518665313166e-01,4.770417511463164728e-01,0.000000000000000000e+00
1.658942807149284363e+09,2.603821754455565851e-01,4.357181489467620156e-02,-1.388969719409942072e-01,5.152548551559448242e-01,5.407745838165283203e-01,-4.633290767669677734e-01,4.768664538860321045e-01,0.000000000000000000e+00
1.658942807157045603e+09,2.603681087493895929e-01,4.359630495309829712e-02,-1.388768404722212912e-01,5.153790116310119629e-01,5.408145189285278320e-01,-4.632821083068847101e-01,4.767324328422545832e-01,0.000000000000000000e+00
1.658942807166712761e+09,2.603588104248046875e-01,4.363475367426870172e-02,-1.388458013534545898e-01,5.155652165412902832e-01,5.407666563987731934e-01,-4.631918668746948242e-01,4.766731858253479004e-01,0.000000000000000000e+00
1.658942807177499533e+09,2.603626549243927002e-01,4.367155581712720003e-02,-1.388210356235503873e-01,5.156926512718200684e-01,5.407627224922180176e-01,-4.632335007190703791e-01,4.764991998672484796e-01,0.000000000000000000e+00
1.658942807188605070e+09,2.603815197944641113e-01,4.370512068271630024e-02,-1.387755274772644043e-01,5.158122181892395020e-01,5.408106446266174316e-01,-4.632142782211303156e-01,4.763339757919310968e-01,0.000000000000000000e+00
1.658942807196036577e+09,2.603934407234191895e-01,4.373482987284660339e-02,-1.387630999088287076e-01,5.159230232238769531e-01,5.408026576042175293e-01,-4.631142318248748779e-01,4.763205349445343018e-01,0.000000000000000000e+00
1.658942807204875708e+09,2.604276239871978760e-01,4.376451298594469935e-02,-1.387309432029724121e-01,5.160142779350280762e-01,5.408521890640258789e-01,-4.630700051784514826e-01,4.762083888053894043e-01,0.000000000000000000e+00
1.658942807211707592e+09,2.604309320449829102e-01,4.379192367196080293e-02,-1.386923789978027066e-01,5.160699486732482910e-01,5.408492684364318848e-01,-4.629848301410675049e-01,4.762340784072875977e-01,0.000000000000000000e+00
1.658942807217763424e+09,2.604466378688812256e-01,4.382500797510140156e-02,-1.386508792638778131e-01,5.161185264587402344e-01,5.408125519752502441e-01,-4.629224240779876154e-01,4.762837886810302734e-01,0.000000000000000000e+00
1.658942807223811626e+09,2.604807019233703058e-01,4.387593269348139674e-02,-1.385933458805083951e-01,5.160729885101318359e-01,5.407776832580566406e-01,-4.629242122173308771e-01,4.763709604740142822e-01,0.000000000000000000e+00
1.658942807237199068e+09,2.605222463607788086e-01,4.392552003264420246e-02,-1.385491490364073874e-01,5.159807205200195312e-01,5.407760739326477051e-01,-4.629416763782501221e-01,4.764559268951416016e-01,0.000000000000000000e+00
1.658942807243252516e+09,2.605706751346588135e-01,4.398399963974949922e-02,-1.385051161050795954e-01,5.158589482307434082e-01,5.407400727272033691e-01,-4.630140364170073908e-01,4.765582680702208918e-01,0.000000000000000000e+00
1.658942807251516819e+09,2.606288194656372070e-01,4.405689984560010042e-02,-1.384696513414382935e-01,5.157085657119750977e-01,5.406987071037292480e-01,-4.631084203720092773e-01,4.766763448715209961e-01,0.000000000000000000e+00
1.658942807259493828e+09,2.606810033321380060e-01,4.412733763456339747e-02,-1.384258717298507135e-01,5.155360102653503418e-01,5.406928062438964844e-01,-4.631911218166350763e-01,4.767891466617584229e-01,0.000000000000000000e+00
1.658942807267292500e+09,2.607262432575225830e-01,4.420270398259160127e-02,-1.383921951055525901e-01,5.153737068176269531e-01,5.406813025474548340e-01,-4.632538557052611750e-01,4.769167602062224787e-01,0.000000000000000000e+00
1.658942807276323557e+09,2.607934474945067804e-01,4.428826645016670227e-02,-1.383679211139678955e-01,5.152168869972229004e-01,5.406728386878967285e-01,-4.633145034313201904e-01,4.770367145538330078e-01,0.000000000000000000e+00
1.658942807280915499e+09,2.608832418918609064e-01,4.438100755214689774e-02,-1.383627802133559903e-01,5.150014162063598633e-01,5.406981110572814941e-01,-4.633550941944121759e-01,4.772014915943145752e-01,0.000000000000000000e+00
1.658942807287506580e+09,2.609755098819732111e-01,4.446259886026379671e-02,-1.383768022060394010e-01,5.148265957832336426e-01,5.407469868659973145e-01,-4.633794426918029785e-01,4.773111343383789062e-01,0.000000000000000000e+00
1.658942807299251795e+09,2.610756754875183105e-01,4.455823078751559863e-02,-1.383622735738753995e-01,5.146232247352600098e-01,5.407575368881225586e-01,-4.632922112941741943e-01,4.776030778884887140e-01,0.000000000000000000e+00
1.658942807306640625e+09,2.611920237541198730e-01,4.463464394211760083e-02,-1.384142786264419001e-01,5.144546627998352051e-01,5.408871173858642578e-01,-4.630930423736572266e-01,4.778309762477874756e-01,0.000000000000000000e+00
1.658942807315483093e+09,2.612960040569304865e-01,4.468870535492890095e-02,-1.384488493204115989e-01,5.143780708312988281e-01,5.409004092216491699e-01,-4.628440439701079767e-01,4.781396389007567804e-01,0.000000000000000000e+00
1.658942807324449539e+09,2.613924741744995117e-01,4.477699473500249688e-02,-1.385459452867507935e-01,5.140787363052368164e-01,5.410233139991760254e-01,-4.628066718578338068e-01,4.783586263656616211e-01,0.000000000000000000e+00
1.658942807333647966e+09,2.614728212356566828e-01,4.482104256749149668e-02,-1.386288255453108909e-01,5.139667391777038574e-01,5.410937666893005371e-01,-4.628011286258696955e-01,4.784046113491057794e-01,0.000000000000000000e+00
1.658942807339875221e+09,2.615256011486052912e-01,4.484612122178070065e-02,-1.387315690517424982e-01,5.139315724372863770e-01,5.411777496337890625e-01,-4.626384079456328791e-01,4.785048365592955988e-01,0.000000000000000000e+00
1.658942807348712206e+09,2.615968286991118830e-01,4.487711191177359837e-02,-1.387934982776641013e-01,5.138139128684997559e-01,5.412927269935607910e-01,-4.624872803688048761e-01,4.786471724510192871e-01,0.000000000000000000e+00
1.658942807356869221e+09,2.616459429264068048e-01,4.492900893092149905e-02,-1.388732790946959894e-01,5.137995481491088867e-01,5.414446592330932617e-01,-4.623166024684906006e-01,4.786556661128997803e-01,0.000000000000000000e+00
1.658942807365980387e+09,2.616949975490570068e-01,4.498486593365660230e-02,-1.389438509941101074e-01,5.136936902999877930e-01,5.416113734245300293e-01,-4.621751308441162109e-01,4.787172079086303156e-01,0.000000000000000000e+00
1.658942807374830484e+09,2.617464661598205011e-01,4.502282291650770013e-02,-1.389876157045364102e-01,5.137582421302795410e-01,5.416842699050903320e-01,-4.619549214839934748e-01,4.787780642509459894e-01,0.000000000000000000e+00
1.658942807387152433e+09,2.617886960506439209e-01,4.505443200469010090e-02,-1.390284746885299128e-01,5.137882232666015625e-01,5.417953133583068848e-01,-4.617572426795958918e-01,4.788108468055725098e-01,0.000000000000000000e+00
1.658942807395530701e+09,2.618161439895629883e-01,4.509131237864490160e-02,-1.390436887741088867e-01,5.138119459152221680e-01,5.419797897338867188e-01,-4.615265130996704102e-01,4.787989854812622070e-01,0.000000000000000000e+00
1.658942807397957087e+09,2.618276178836821955e-01,4.510848224163049869e-02,-1.390383541584014893e-01,5.137727260589599609e-01,5.421755313873291016e-01,-4.613551199436187744e-01,4.787847995758056086e-01,0.000000000000000000e+00
1.658942807410372972e+09,2.618246674537658136e-01,4.512798413634300232e-02,-1.390300691127777100e-01,5.137744545936584473e-01,5.423761606216430664e-01,-4.611600339412689209e-01,4.787435233592987061e-01,0.000000000000000000e+00
1.658942807419966936e+09,2.618252635002136230e-01,4.513246938586230189e-02,-1.390082389116286954e-01,5.138882398605346680e-01,5.424829125404357910e-01,-4.609625637531279962e-01,4.786907434463500977e-01,0.000000000000000000e+00
1.658942807429940224e+09,2.618227303028106134e-01,4.514016956090920185e-02,-1.389729529619216919e-01,5.139821171760559082e-01,5.425813198089599609e-01,-4.608199298381804865e-01,4.786155819892882746e-01,0.000000000000000000e+00
1.658942807441891670e+09,2.618195414543151855e-01,4.513866081833829702e-02,-1.389079988002777100e-01,5.142038464546203613e-01,5.425771474838256836e-01,-4.606198370456695002e-01,4.785748720169066828e-01,0.000000000000000000e+00
1.658942807449448109e+09,2.618058323860167902e-01,4.508569836616509868e-02,-1.387972831726073941e-01,5.144807100296020508e-01,5.426373481750488281e-01,-4.604457020759581964e-01,4.783765077590941828e-01,0.000000000000000000e+00
1.658942807455612898e+09,2.617844343185424805e-01,4.507917538285249881e-02,-1.387328356504440030e-01,5.145516395568847656e-01,5.426285266876220703e-01,-4.604521393775939941e-01,4.783041179180145264e-01,0.000000000000000000e+00
1.658942807463267088e+09,2.617689967155455988e-01,4.505554959177970192e-02,-1.386514157056807917e-01,5.146695971488952637e-01,5.425505638122558594e-01,-4.604230821132659912e-01,4.782936275005340021e-01,0.000000000000000000e+00
1.658942807472419977e+09,2.617453932762145996e-01,4.501497000455850078e-02,-1.385501921176910123e-01,5.148166418075561523e-01,5.424201488494873047e-01,-4.604964554309844971e-01,4.782126843929290771e-01,0.000000000000000000e+00
1.658942807480836391e+09,2.617184817790985107e-01,4.497965052723879725e-02,-1.384535431861876886e-01,5.149121880531311035e-01,5.422992706298828125e-01,-4.606330990791320801e-01,4.781152904033660889e-01,0.000000000000000000e+00
1.658942807490439892e+09,2.616958618164061945e-01,4.493661224842070145e-02,-1.383544504642486017e-01,5.150797963142395020e-01,5.421103835105895996e-01,-4.607867300510405939e-01,4.780007898807525080e-01,0.000000000000000000e+00
1.658942807499620914e+09,2.616799175739287775e-01,4.488311335444449685e-02,-1.382246762514114102e-01,5.153377652168273926e-01,5.418841242790222168e-01,-4.609287977218627930e-01,4.778423905372619074e-01,0.000000000000000000e+00
1.658942807507176161e+09,2.616733610630034845e-01,4.482055455446239817e-02,-1.381001770496368131e-01,5.155592560768127441e-01,5.417150259017944336e-01,-4.611500799655913752e-01,4.775815010070800781e-01,0.000000000000000000e+00
1.658942807512349606e+09,2.616652548313140869e-01,4.477504640817640130e-02,-1.380009651184082031e-01,5.157423615455627441e-01,5.414792895317077637e-01,-4.614723920822143000e-01,4.773398339748382013e-01,0.000000000000000000e+00
1.658942807521528244e+09,2.616537809371948242e-01,4.473587498068799795e-02,-1.379053294658660889e-01,5.159459114074707031e-01,5.412952899932861328e-01,-4.616834521293640137e-01,4.771244823932647150e-01,0.000000000000000000e+00
