time,x,y,z,qx,qy,qz,qw,gripper_stat
1.658935987000000000e+09,-1.892440180000000138e-01,-2.810427589999999753e-01,8.668857500000000382e-02,-7.069580779999999898e-01,7.054632979999999609e-01,-1.382096399999999982e-02,4.838172899999999832e-02,0.000000000000000000e+00
1.658935987000000000e+09,-1.892391210000000101e-01,-2.810608070000000236e-01,8.672644300000000028e-02,-7.069462939999999751e-01,7.054787689999999500e-01,-1.381497400000000070e-02,4.833000700000000122e-02,0.000000000000000000e+00
1.658935987000000000e+09,-1.892131549999999940e-01,-2.810996749999999933e-01,8.676987399999999684e-02,-7.069590319999999872e-01,7.054691990000000468e-01,-1.381153000000000068e-02,4.828434499999999935e-02,0.000000000000000000e+00
1.658935987000000000e+09,1.874601690000000098e-01,1.007518169999999935e-01,-2.916381659999999765e-01,5.092405079999999806e-01,5.043812389999999812e-01,-4.936545190000000138e-01,4.925231339999999736e-01,0.000000000000000000e+00
1.658935987000000000e+09,-1.892385940000000100e-01,-2.811093459999999822e-01,8.678692400000000140e-02,-7.069286790000000043e-01,7.055026239999999671e-01,-1.382651900000000066e-02,4.823606099999999675e-02,0.000000000000000000e+00
1.658935987000000000e+09,1.874510940000000125e-01,1.007506469999999987e-01,-2.916319370000000077e-01,5.090994829999999638e-01,5.043281910000000368e-01,-4.936940670000000142e-01,4.926834110000000155e-01,0.000000000000000000e+00
1.658935987000000000e+09,-1.892390019999999895e-01,-2.811187889999999800e-01,8.682183499999999998e-02,-7.069303879999999651e-01,7.055038700000000329e-01,-1.381239599999999935e-02,4.819682399999999922e-02,0.000000000000000000e+00
1.658935987000000000e+09,1.874405000000000099e-01,1.007639020000000024e-01,-2.916292850000000159e-01,5.089373590000000336e-01,5.043311719999999942e-01,-4.937140349999999955e-01,4.928278629999999771e-01,0.000000000000000000e+00
1.658935987000000000e+09,-1.892422390000000065e-01,-2.811644059999999778e-01,8.686069200000000323e-02,-7.069577280000000075e-01,7.054820120000000472e-01,-1.378931000000000080e-02,4.812231399999999937e-02,0.000000000000000000e+00
1.658935987000000000e+09,-1.892259420000000081e-01,-2.811897629999999815e-01,8.688389800000000107e-02,-7.069487269999999990e-01,7.054920740000000245e-01,-1.382623200000000080e-02,4.809641700000000242e-02,0.000000000000000000e+00
1.658935987000000000e+09,1.874278040000000034e-01,1.007784310000000016e-01,-2.916330400000000100e-01,5.087391140000000478e-01,5.043268800000000329e-01,-4.937366550000000243e-01,4.930142459999999893e-01,0.000000000000000000e+00
1.658935987000000000e+09,-1.892381280000000054e-01,-2.811866969999999855e-01,8.691666600000000353e-02,-7.069064250000000049e-01,7.055366950000000470e-01,-1.381586100000000046e-02,4.806662700000000066e-02,0.000000000000000000e+00
1.658935987000000000e+09,1.874133940000000109e-01,1.008042319999999936e-01,-2.916292249999999919e-01,5.085061189999999787e-01,5.043519140000000123e-01,-4.937539400000000023e-01,4.932118059999999748e-01,0.000000000000000000e+00
1.658935987000000000e+09,-1.892105729999999930e-01,-2.812235920000000222e-01,8.694590600000000336e-02,-7.069464389999999820e-01,7.054996030000000307e-01,-1.379554799999999949e-02,4.802837199999999973e-02,0.000000000000000000e+00
1.658935987000000000e+09,1.873972269999999996e-01,1.008301379999999997e-01,-2.916452589999999900e-01,5.082907079999999800e-01,5.043749810000000000e-01,-4.937151969999999945e-01,4.934489429999999732e-01,0.000000000000000000e+00
1.658935987000000000e+09,-1.892151199999999867e-01,-2.812412340000000066e-01,8.698522499999999935e-02,-7.069387799999999888e-01,7.055111320000000408e-01,-1.379853299999999998e-02,4.797087199999999774e-02,0.000000000000000000e+00
1.658935987000000000e+09,1.873694959999999965e-01,1.008671220000000035e-01,-2.916368249999999884e-01,5.080758330000000322e-01,5.043661590000000361e-01,-4.936659039999999887e-01,4.937284889999999926e-01,0.000000000000000000e+00
1.658935987000000000e+09,-1.892268820000000129e-01,-2.812653379999999759e-01,8.702203299999999864e-02,-7.069514799999999655e-01,7.055026349999999891e-01,-1.378010399999999962e-02,4.791394000000000208e-02,0.000000000000000000e+00
1.658935987000000000e+09,1.873324959999999872e-01,1.008960529999999994e-01,-2.916718130000000020e-01,5.077429409999999477e-01,5.044674869999999922e-01,-4.936801789999999968e-01,4.939529899999999807e-01,0.000000000000000000e+00
1.658935987000000000e+09,-1.892407170000000027e-01,-2.812801340000000150e-01,8.705780200000000357e-02,-7.069384340000000044e-01,7.055206379999999777e-01,-1.376121299999999957e-02,4.784672100000000178e-02,0.000000000000000000e+00
1.658935987000000000e+09,1.873152110000000092e-01,1.009185539999999937e-01,-2.916861179999999942e-01,5.075352789999999503e-01,5.044768450000000071e-01,-4.936476949999999975e-01,4.941892620000000180e-01,0.000000000000000000e+00
